filename,type,context,h1_title,h2_headings,generated_at
aita-souzoku.html,neighborhood,相田（安佐南区）,相田で相続不動産と保険を整理する方法 | 安佐南区の相続相談室,相田で相続相談を考えるときの確認事項 | 不動産と保険の整理で最初に見るポイント | 相田での相続相談前に準備したい資料 | 相続相談の進め方と次のステップ,2026-04-13T23:35:08.531049
akebono-souzoku.html,neighborhood,曙（東区）,曙で相続不動産と保険を整理する方法 | 東区の相続相談室,曙で相続相談を考えるときの確認事項 | 不動産と保険の整理で最初に見るポイント | 曙での相続相談前に準備したい資料 | 相続相談の進め方と次のステップ,2026-04-13T23:35:08.531159
aozaki-souzoku.html,neighborhood,青崎（西区）,青崎の相続相談 | 西区で理想の資産継承を実現する方法,青崎で相続相談を考えるときの確認事項 | 不動産と保険の整理で最初に見るポイント | 青崎での相続相談前に準備したい資料 | 相続相談の進め方と次のステップ,2026-04-13T23:35:08.531239
category-hiroshima-local.html,topic, / ,,テーマの基礎知識 | 相続での活用シーン | 相談前の確認項目 | 次のステップ,2026-04-13T23:35:08.531300
category-insurance.html,topic,相続保険 / カテゴリ,相続保険まとめ | 受取人・活用・税務対策の完全ガイド,テーマの基礎知識 | 相続での活用シーン | 相談前の確認項目 | 次のステップ,2026-04-13T23:35:08.531366
category-real-estate.html,topic,相続不動産 / カテゴリ,相続不動産まとめ | 売却・共有・空き家の整理ポイント,テーマの基礎知識 | 相続での活用シーン | 相談前の確認項目 | 次のステップ,2026-04-13T23:35:08.531423
eba-souzoku.html,neighborhood,江波（中区）,江波で相続不動産と保険を整理する方法 | 中区の相続相談室,江波で相続相談を考えるときの確認事項 | 不動産と保険の整理で最初に見るポイント | 江波での相続相談前に準備したい資料 | 相続相談の進め方と次のステップ,2026-04-13T23:35:08.531479
ebisucho-souzoku.html,neighborhood,恵比須町（中区）,恵比須町で相続相談するなら何から始める？中区での不動産・保険整理ガイド,恵比須町で相続相談を考えるときの確認事項 | 不動産と保険の整理で最初に見るポイント | 恵比須町での相続相談前に準備したい資料 | 相続相談の進め方と次のステップ,2026-04-13T23:35:08.531539
fukuda-souzoku.html,neighborhood,福田（西区）,福田の相続相談 | 西区で理想の資産継承を実現する方法,福田で相続相談を考えるときの確認事項 | 不動産と保険の整理で最初に見るポイント | 福田での相続相談前に準備したい資料 | 相続相談の進め方と次のステップ,2026-04-13T23:35:08.531594
gion-souzoku.html,neighborhood,祇園（安佐南区）,祇園で相続対策をスタート｜安佐南区での無料相談サポート,祇園で相続相談を考えるときの確認事項 | 不動産と保険の整理で最初に見るポイント | 祇園での相続相談前に準備したい資料 | 相続相談の進め方と次のステップ,2026-04-13T23:35:08.531648
inheritance-empty-house.html,topic,空き家 / 相続不動産,空き家になった相続不動産は放置でいい？管理・売却・活用の判断基準,空き家放置で起きやすい問題と負担 | 売却か保有か | 判断の軸を整理する | 相談前に確認・準備しておくこと | よくある質問と次のステップ,2026-04-13T23:35:08.531691
inheritance-insurance-beneficiary.html,topic,受取人 / 相続保険,受取人が亡くなっていた場合の生命保険対応 | 契約変更・相続手続きの流れ,受取人確認が重要な理由 | 見直しが必要になりやすい場面 | 相談前に見る書類と確認項目 | 受取人変更の手続きと次のステップ,2026-04-13T23:35:08.531734
inheritance-insurance-strategy.html,topic,活用 / 相続保険,相続対策に活用する生命保険の活用法 | 資金計画と保険設計,相続対策に保険が活躍する場面 | 保険を使った資金計画の組み立て方 | 相続税対策と保険の関係 | 相談で確認すべき保険の活用方針,2026-04-13T23:35:08.531777
inheritance-insurance-tax.html,topic,税対策 / 相続保険,相続保険の税務対策 | 控除の仕組みと節税プランニング,相続保険の税務控除の仕組み | 保険金受け取りと税の関係 | 保険を使った相続税対策 | 税務相談と保険相談の連携ポイント,2026-04-13T23:35:08.531820
inheritance-real-estate-sale.html,topic,売却 / 相続不動産,相続不動産を売却するなら | 売却前の登記・タイトル・査定確認リスト,相続登記と家系図の確認が最初 | 売却に向けた不動産査定と準備 | 共有者との話し合いと意思決定 | 最後の確認と売却手続きの進め方,2026-04-13T23:35:08.531862
inheritance-shared-property.html,topic,共有 / 相続不動産,共有名義の相続不動産を売却する方法 | 共有持分の判断と意思決定,共有名義とは | 権利と課題の基礎知識 | 共有不動産を動かすための意思決定 | 分割か売却か | 選択肢の整理 | 相談で話す重要なポイント,2026-04-13T23:35:08.531903
